metric,target_file,formula,required_columns,source,reference,url,requires_external_model
expected_threat_total,data/processed/stats/player_match_stats_cleaned.csv,(passes_completed * 0.05) + (dribbles * 0.07),"['passes_completed', 'dribbles']",Course-provided proxy formula; true xT needs event start/end locations.,"Singh, K. (2018). Expected Threat; Soccermatics xT notes.",https://soccermatics.readthedocs.io/en/latest/lesson4/xTPos.html,False
vaep_rating,data/processed/stats/player_match_stats_cleaned.csv,(passes_completed + dribbles + tackles_won + interceptions) - fouls_committed,"['passes_completed', 'dribbles', 'tackles_won', 'interceptions', 'fouls_committed']",Course-provided proxy formula; true VAEP estimates scoring and conceding probabilities from action states.,Decroos et al. (2019). Actions Speak Louder than Goals.,https://socceraction.readthedocs.io/en/stable/api/generated/socceraction.vaep.VAEP.html,False
expected_assists,data/processed/stats/player_match_stats_cleaned.csv,passes_attempted * pass_accuracy * 0.1,"['passes_attempted', 'pass_accuracy']","Course-provided proxy formula; event-level xA normally needs pass recipient, location, and shot outcome context.",Bransen and Van Haaren style pass valuation; Decroos et al. discuss action-value context.,https://www.kdd.org/kdd2019/accepted-papers/view/actions-speak-louder-than-goals-valuing-player-actions-in-soccer,False
progressive_pass_dist,data/processed/stats/player_match_stats_cleaned.csv,distance_covered * (passes_completed / passes_attempted),"['distance_covered', 'passes_completed', 'passes_attempted']",Course-provided proxy formula; true progressive-pass definitions need pass start/end coordinates.,StatsBomb-style progressive passing concepts require spatial event data.,https://statsbomb.com/soccer-metrics/,False
defensive_action_height,data/processed/stats/player_match_stats_cleaned.csv,(tackles + interceptions + clearances) / distance_covered,"['tackles', 'interceptions', 'clearances', 'distance_covered']",Course-provided proxy formula; actual defensive height is spatial and needs action locations.,Style-of-play clustering literature uses spatial defensive-action information.,,False
pressing_intensity,data/processed/stats/player_match_stats_cleaned.csv,opponent_possession_rate / (tackles + interceptions + fouls_committed),"['match_id', 'team_id', 'tackles', 'interceptions', 'fouls_committed']",Course-provided PPDA-inspired proxy using possession rate where opponent pass counts are unavailable.,Pressing metrics such as PPDA divide opponent possession actions by defensive actions.,https://statsbomb.com/articles/soccer/defensive-metrics-measuring-the-intensity-of-a-high-press/,False
acwr_index,data/processed/stats/player_match_stats_cleaned.csv,distance_covered_match / average_distance_covered_season,"['player_id', 'match_id', 'distance_covered']","ACWR ratio concept is supported, but this repo lacks non-null match distance for the processed match table.",Rossi et al. (2018). Effective injury forecasting in soccer with GPS training data.,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201264,False
metabolic_power,data/processed/stats/player_match_stats_cleaned.csv,(15.48 * top_speed) * (distance_covered / (minutes_played * 60)),"['top_speed', 'distance_covered', 'minutes_played']",Course-provided proxy formula; Osgnach metabolic power depends on locomotor energetics and tracking-derived movement.,Osgnach et al. (2010). Energy cost and metabolic power in elite soccer.,https://pubmed.ncbi.nlm.nih.gov/20010116/,False
foul_severity_index,data/processed/stats/player_match_stats_cleaned.csv,(fouls_committed * 1) + (yellow_cards * 3) + (red_cards * 6),"['fouls_committed', 'yellow_cards', 'red_cards']",Course-provided weighted disciplinary index.,Football disciplinary models commonly use fouls and card counts as risk features.,,False
possession_involvement,data/processed/stats/player_match_stats_cleaned.csv,(passes_attempted + dribbles) / (team_possession_rate * minutes_played),"['match_id', 'team_id', 'passes_attempted', 'dribbles', 'minutes_played']",Course-provided possession-normalized involvement proxy.,Pappalardo et al. (2019). PlayeRank / data-driven player evaluation.,https://doi.org/10.1145/3343172,False
xg_probability,data/processed/events/goals_events_cleaned.csv,logistic(B0 + beta * shot features),"['shot_location', 'angle', 'distance', 'body_part']","Not computed: processed goal events contain goals only, not the full shot population or spatial shot features.",Anzer and Bauer (2021). A Goal Scoring Probability Model for Shots.,https://www.frontiersin.org/articles/10.3389/fspor.2021.624475/full,True
shot_quality_index,data/processed/events/goals_events_cleaned.csv,goals / xg_probability,['xg_probability'],Not computed unless xg_probability is available from a calibrated xG model.,xG performance comparison requires calibrated expected-goals probabilities.,https://www.frontiersin.org/articles/10.3389/fspor.2021.624475/full,True
