metric,target_file,rows,filled,missing,missing_pct,formula,source,url
expected_threat_total,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,(passes_completed * 0.05) + (dribbles * 0.07),Course-provided proxy formula; true xT needs event start/end locations.,https://soccermatics.readthedocs.io/en/latest/lesson4/xTPos.html
vaep_rating,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,(passes_completed + dribbles + tackles_won + interceptions) - fouls_committed,Course-provided proxy formula; true VAEP estimates scoring and conceding probabilities from action states.,https://socceraction.readthedocs.io/en/stable/api/generated/socceraction.vaep.VAEP.html
expected_assists,data/processed/stats/player_match_stats_cleaned.csv,9681,152,9529,0.984299,passes_attempted * pass_accuracy * 0.1,"Course-provided proxy formula; event-level xA normally needs pass recipient, location, and shot outcome context.",https://www.kdd.org/kdd2019/accepted-papers/view/actions-speak-louder-than-goals-valuing-player-actions-in-soccer
progressive_pass_dist,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,distance_covered * (passes_completed / passes_attempted),Course-provided proxy formula; true progressive-pass definitions need pass start/end coordinates.,https://statsbomb.com/soccer-metrics/
defensive_action_height,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,(tackles + interceptions + clearances) / distance_covered,Course-provided proxy formula; actual defensive height is spatial and needs action locations.,
pressing_intensity,data/processed/stats/player_match_stats_cleaned.csv,9681,112,9569,0.988431,opponent_possession_rate / (tackles + interceptions + fouls_committed),Course-provided PPDA-inspired proxy using possession rate where opponent pass counts are unavailable.,https://statsbomb.com/articles/soccer/defensive-metrics-measuring-the-intensity-of-a-high-press/
acwr_index,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,distance_covered_match / average_distance_covered_season,"ACWR ratio concept is supported, but this repo lacks non-null match distance for the processed match table.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201264
metabolic_power,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,(15.48 * top_speed) * (distance_covered / (minutes_played * 60)),Course-provided proxy formula; Osgnach metabolic power depends on locomotor energetics and tracking-derived movement.,https://pubmed.ncbi.nlm.nih.gov/20010116/
foul_severity_index,data/processed/stats/player_match_stats_cleaned.csv,9681,137,9544,0.985849,(fouls_committed * 1) + (yellow_cards * 3) + (red_cards * 6),Course-provided weighted disciplinary index.,
possession_involvement,data/processed/stats/player_match_stats_cleaned.csv,9681,0,9681,1.0,(passes_attempted + dribbles) / (team_possession_rate * minutes_played),Course-provided possession-normalized involvement proxy.,https://doi.org/10.1145/3343172
xg_probability,data/processed/events/goals_events_cleaned.csv,3506,0,3506,1.0,logistic(B0 + beta * shot features),"Not computed: processed goal events contain goals only, not the full shot population or spatial shot features.",https://www.frontiersin.org/articles/10.3389/fspor.2021.624475/full
shot_quality_index,data/processed/events/goals_events_cleaned.csv,3506,0,3506,1.0,goals / xg_probability,Not computed unless xg_probability is available from a calibrated xG model.,https://www.frontiersin.org/articles/10.3389/fspor.2021.624475/full
